City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
556,calvinia,-31.4707,19.776,5.81,40,6,3.86,ZA,1690940646
557,sao joao da barra,-21.6403,-41.0511,20.33,73,1,3.21,BR,1690940646
558,totness,5.8833,-56.3167,25.78,87,10,3.11,SR,1690940647
559,turrialba,9.9047,-83.6835,25.81,96,100,1.41,CR,1690940647
560,choibalsan,48.0667,114.5,29.52,45,89,7.33,MN,1690940647
561,formosa do rio preto,-11.0483,-45.1931,21.79,44,8,1.41,BR,1690940648
562,auki,-8.7676,160.7034,27.53,73,100,2.75,SB,1690940648
563,zayed city,24.3768,54.589,34.44,57,0,2.06,AE,1690940648
564,mount isa,-20.7333,139.5,25.87,34,2,7.72,AU,1690940648
565,rye,40.9807,-73.6837,23.95,67,20,1.54,US,1690940649
566,vezirkopru,41.1436,35.4547,18.27,86,82,0.5,TR,1690940649
567,kalymnos,36.95,26.9833,24.74,83,0,2.57,GR,1690940649
568,robertsport,6.7533,-11.3686,25.28,87,100,6.01,LR,1690940649
569,teknaf,20.8624,92.3058,27.19,91,100,6.41,BD,1690940650
570,zapata,26.9073,-99.2714,37.06,34,69,5.66,US,1690940353
571,busan,35.1028,129.0403,30.99,70,75,1.03,KR,1690940650
572,sheksna,59.21,38.5107,11.98,81,63,1.75,RU,1690940650
573,grand falls-windsor,48.9332,-55.6649,15.28,93,7,2.91,CA,1690940651
574,nicoya,10.1483,-85.452,24.26,95,94,1.23,CR,1690940651
